# xs-helper field whitelist (auto-generated, do not edit)
# format: category|ChineseName|EnglishCode
# total: 1011
#
quote|估計量|EstimatedTotalVolume
quote|參考價|RefPrice
quote|單量|TickVolume
quote|成交|Last
quote|成交時間|Time
quote|昨量|PreTotalVolume
quote|最低(日)|DailyLow
quote|最高(日)|DailyHigh
quote|總量(日)|DailyVolume
quote|買進|Bid
quote|賣出|Ask
quote|開盤(日)|DailyOpen
quote|每股淨值|NetValuePerShare
quote|每股營收|OpeRevenuePerShare
quote|每股盈餘|CurrentEPS
quote|毛利率|GrossMarginRate
quote|營收年增率|RevenueYoY
quote|營收月份|RevenueMonth
quote|營收期增率|RevenueGrowth
quote|營益率|OpeProfitMarginRate
quote|股東權益報酬率|CurrentROE
quote|財報期別|FinancialStatementsTime
quote|委比|OrderRatio
quote|委買|BestBidSize
quote|委買1|BestBidSize1
quote|委買2|BestBidSize2
quote|委買3|BestBidSize3
quote|委買4|BestBidSize4
quote|委買5|BestBidSize5
quote|委買賣差|BidAskDiff
quote|委賣|BestAskSize
quote|委賣1|BestAskSize1
quote|委賣2|BestAskSize2
quote|委賣3|BestAskSize3
quote|委賣4|BestAskSize4
quote|委賣5|BestAskSize5
quote|總委買|SumBidSize
quote|總委賣|SumAskSize
quote|買進|Bid
quote|買進1|BestBid1
quote|買進2|BestBid2
quote|買進3|BestBid3
quote|買進4|BestBid4
quote|買進5|BestBid5
quote|賣出|Ask
quote|賣出1|BestAsk1
quote|賣出2|BestAsk2
quote|賣出3|BestAsk3
quote|賣出4|BestAsk4
quote|賣出5|BestAsk5
quote|上漲家數|UpSecurities
quote|下跌家數|DownSecurities
quote|漲停家數|UpLimitSecs
quote|跌停家數|DownLimitSecs
quote|Delta|Delta
quote|Gamma|Gamma
quote|RHO|RHO
quote|Theta|Theta
quote|Vega|Vega
quote|價內外百分比|IOofMoney
quote|內含值|IntrinsicValue
quote|到期日|ExpiredDate
quote|剩餘交易日|RemainTradingDays
quote|剩餘日|RemainDays
quote|執行比例|ContractRatio
quote|履約價|StrikePrice
quote|損益兩平|BreakEvenPoint
quote|時間價值|TimeValue
quote|最後交易日|LastTradingDate
quote|有效槓桿|Leverage
quote|標的價格|TargetPrice
quote|標的漲跌|TargetChange
quote|標的漲跌幅|TargetChangeRatio
quote|波動率|Volatility
quote|波動率差額|VolatilityDiff
quote|溢價率百分比|PremiumRatio
quote|獲利率百分比|Profitability
quote|理論價|TheoreticalPrice
quote|買賣權成交量比率|CPTradeRatio
quote|買賣權未平倉量比率|CPOIRatio
quote|買進隱含波動率|ImpliedVolatilityonBuy
quote|賣出隱含波動率|ImpliedVolatilityonSell
quote|一年前收盤價|Close1Yago
quote|一月前收盤價|Close1Mago
quote|一週前收盤價|Close1Wago
quote|三月前收盤價|Close3Mago
quote|價差|Spread
quote|內外盤|BidAskFlag
quote|前一價|PreMatch1
